	Cell Line HMS LINCS ID	Cell Line Name	Protein HMS LINCS ID	Protein Name	Ligand Concentration	Conc unit	Measured pAkt:10min log10(a.u.)	Measured pAkt:30min log10(a.u.)	Measured pAkt:90min log10(a.u.)	Measured pErk:10min log10(a.u.)	Measured pErk:30min log10(a.u.)	Measured pErk:90min log10(a.u.)	Control pAkt (a.u.)	Control pErk (a.u.)
109	50213	HCC1954	200863.0	EFNA1	100.0	ng/ml	3.7932078161	3.75088050984	3.75958482986	4.09724314542	3.95733106072	4.06831256816	3.49286175912	3.81323094361
110	50214	HCC202	200863.0	EFNA1	1.0	ng/ml	4.82335585149	4.7366170121	4.74373543731	3.59686209931	3.59840504982	3.5985017198	4.72998614978	3.54027027154
111	50214	HCC202	200863.0	EFNA1	100.0	ng/ml	4.74397328735	4.80503009703	4.84400051994	3.57534455538	3.6562725559	3.6000710438	4.72998614978	3.54027027154
112	50216	HCC38	200863.0	EFNA1	1.0	ng/ml	3.45525260059	3.53222640951	3.47340010248	2.60890988291	2.61779058317	2.44193852365	3.50743702069	2.84395247473
113	50216	HCC38	200863.0	EFNA1	100.0	ng/ml	3.34339027624	3.46868119519	3.45621415536	3.2667120721	2.92689268452	2.70620468764	3.50743702069	2.84395247473
114	50219	HCC70	200863.0	EFNA1	1.0	ng/ml	3.99061639483	3.96663954787	4.02621586438	2.59091759017	2.59091759017	2.59091759017	3.99103920023	2.70533933577
115	50219	HCC70	200863.0	EFNA1	100.0	ng/ml	4.02311041594	4.03237487511	4.03718210866	2.59091759017	2.59091759017	2.59091759017	3.99103920023	2.70533933577
116	50238	Hs 578T	200863.0	EFNA1	1.0	ng/ml	3.56135043499	3.49478803475	3.54756993587	3.68138236015	3.67638894807	3.76138703814	3.57767811586	3.63801456835
117	50238	Hs 578T	200863.0	EFNA1	100.0	ng/ml	3.61693068057	3.48805381378	3.60315671897	3.64044118585	3.69496529468	3.83346560527	3.57767811586	3.63801456835
118	50327	MDA-MB-134-VI	200863.0	EFNA1	1.0	ng/ml	2.92542606595	2.92542606595	2.92542606595	3.10198614497	3.11847933956	3.14385913477	2.92542606595	3.16092149777
